,_type,url,date,content,renderedContent,id,user,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags
0,snscrape.modules.twitter.Tweet,https://twitter.com/VikaAgustin10/status/1458222343545782274,2021-11-09 23:57:53+00:00,AktivitasTanpaBatas InternetnyaIndonesia BerjuangTanpaBatas IndiHome,"#AktivitasTanpaBatas #InternetnyaIndonesia #BerjuangTanpaBatas 
#IndiHome https://t.co/nXLpNKOKvu",1458222343545782274,"{'_type': 'snscrape.modules.twitter.User', 'username': 'VikaAgustin10', 'id': 1432916743815503873, 'displayname': 'Vika Agustin', 'description': 'Vikainga', 'rawDescription': 'Vikainga', 'descriptionUrls': None, 'verified': False, 'created': '2021-09-01T04:02:40+00:00', 'followersCount': 3, 'friendsCount': 4, 'statusesCount': 440, 'favouritesCount': 8, 'listedCount': 0, 'mediaCount': 437, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1432917054659522565/ITfC2_bU_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1432916743815503873/1631433237', 'label': None, 'url': 'https://twitter.com/VikaAgustin10'}",0,0,0,0,1458222343545782274,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,"[{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1458222296389148676/pu/img/Hcjyif0s9kkNrxVf.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1458222296389148676/pu/vid/540x960/ZVV5_3lmiSe859QU.mp4?tag=12', 'bitrate': 2176000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1458222296389148676/pu/pl/GMDt9LgPePw1vQKH.m3u8?tag=12&container=fmp4', 'bitrate': None}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1458222296389148676/pu/vid/480x852/3NKvc30EyXPsxxNB.mp4?tag=12', 'bitrate': 950000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1458222296389148676/pu/vid/320x568/4bsnNBaormS5RFN_.mp4?tag=12', 'bitrate': 632000}], 'duration': 9.891, 'views': 9}]",,,,,,,,"['AktivitasTanpaBatas', 'InternetnyaIndonesia', 'BerjuangTanpaBatas', 'IndiHome']",
1,snscrape.modules.twitter.Tweet,https://twitter.com/kinosukina/status/1458222250537066496,2021-11-09 23:57:31+00:00,Jangan terlalu cepat menghakimi tanpa pernah mau mengerti sudut pandang yang lain Untuk urusan jaringan internet percayakan pada INDIHOME InternetnyaIndonesia AktivitasTanpaBatas,"Jangan terlalu cepat menghakimi tanpa pernah mau mengerti sudut pandang yang lain
Untuk urusan jaringan internet, percayakan pada INDIHOME
 
#InternetnyaIndonesia 
#AktivitasTanpaBatas https://t.co/oWouPQpukP",1458222250537066496,"{'_type': 'snscrape.modules.twitter.User', 'username': 'kinosukina', 'id': 2602416942, 'displayname': 'kino suki', 'description': 'Writter, Learner Blogger, Motivator', 'rawDescription': 'Writter, Learner Blogger, Motivator', 'descriptionUrls': None, 'verified': False, 'created': '2014-07-03T23:46:38+00:00', 'followersCount': 904, 'friendsCount': 1737, 'statusesCount': 3307, 'favouritesCount': 5422, 'listedCount': 1, 'mediaCount': 741, 'location': 'Jogja', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1074680430299734018/R5KIWgN3_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/kinosukina'}",0,0,1,0,1458222250537066496,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/FDylaHTVEAAebFp?format=png&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FDylaHTVEAAebFp?format=png&name=large'}]",,,,,,"{'_type': 'snscrape.modules.twitter.Coordinates', 'longitude': 110.375056, 'latitude': -7.864901}","{'_type': 'snscrape.modules.twitter.Place', 'fullName': 'Banguntapan, Indonesia', 'name': 'Banguntapan', 'type': 'city', 'country': 'Indonesia', 'countryCode': 'ID'}","['InternetnyaIndonesia', 'AktivitasTanpaBatas']",
2,snscrape.modules.twitter.Tweet,https://twitter.com/Aprodhitte/status/1458222223785750531,2021-11-09 23:57:25+00:00,oh God i really HATE indihome,oh God i really HATE indihome,1458222223785750531,"{'_type': 'snscrape.modules.twitter.User', 'username': 'Aprodhitte', 'id': 1121634422053167105, 'displayname': 'zoro dating with me', 'description': '192', 'rawDescription': '192', 'descriptionUrls': None, 'verified': False, 'created': '2019-04-26T04:37:39+00:00', 'followersCount': 561, 'friendsCount': 651, 'statusesCount': 10405, 'favouritesCount': 39970, 'listedCount': 2, 'mediaCount': 828, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1464912260313145351/O6KzTv3t_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1121634422053167105/1619700220', 'label': None, 'url': 'https://twitter.com/Aprodhitte'}",0,0,0,0,1458222223785750531,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,,,,,,,
3,snscrape.modules.twitter.Tweet,https://twitter.com/VikaAgustin10/status/1458222211274207236,2021-11-09 23:57:22+00:00,AktivitasTanpaBatas InternetnyaIndonesia BerjuangTanpaBatas IndiHome,"#AktivitasTanpaBatas #InternetnyaIndonesia #BerjuangTanpaBatas 
#IndiHome https://t.co/eyzQeBHsfs",1458222211274207236,"{'_type': 'snscrape.modules.twitter.User', 'username': 'VikaAgustin10', 'id': 1432916743815503873, 'displayname': 'Vika Agustin', 'description': 'Vikainga', 'rawDescription': 'Vikainga', 'descriptionUrls': None, 'verified': False, 'created': '2021-09-01T04:02:40+00:00', 'followersCount': 3, 'friendsCount': 4, 'statusesCount': 440, 'favouritesCount': 8, 'listedCount': 0, 'mediaCount': 437, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1432917054659522565/ITfC2_bU_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1432916743815503873/1631433237', 'label': None, 'url': 'https://twitter.com/VikaAgustin10'}",0,0,0,0,1458222211274207236,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,"[{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1458222171713523712/pu/img/p4UbjL1PJI-NCtZC.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1458222171713523712/pu/vid/320x568/eKnbBcvkDT1DtLed.mp4?tag=12', 'bitrate': 632000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1458222171713523712/pu/pl/5ZW08Ol6Chvp6-Jk.m3u8?tag=12&container=fmp4', 'bitrate': None}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1458222171713523712/pu/vid/480x852/NiBTehU5qrz0qZDs.mp4?tag=12', 'bitrate': 950000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1458222171713523712/pu/vid/576x1024/9GzNjXXpMaJUPgzA.mp4?tag=12', 'bitrate': 2176000}], 'duration': 22.523, 'views': 4}]",,,,,,,,"['AktivitasTanpaBatas', 'InternetnyaIndonesia', 'BerjuangTanpaBatas', 'IndiHome']",
4,snscrape.modules.twitter.Tweet,https://twitter.com/sehr_komisch/status/1458221764299812864,2021-11-09 23:55:35+00:00,tolong dong ini kenapa yah Apa ada maintenance,@IndiHome tolong dong ini kenapa yah? Apa ada maintenance ? https://t.co/TNDDKc2KPA,1458221764299812864,"{'_type': 'snscrape.modules.twitter.User', 'username': 'sehr_komisch', 'id': 78508035, 'displayname': 'yastiandi rombe', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': '2009-09-30T04:00:28+00:00', 'followersCount': 444, 'friendsCount': 502, 'statusesCount': 9703, 'favouritesCount': 322, 'listedCount': 0, 'mediaCount': 72, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/2391043475/kfemstdoh1l2m276xnr2_normal.jpeg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/sehr_komisch'}",0,0,0,0,1458221764299812864,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/FDyk9QWVcAE__0L?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FDyk9QWVcAE__0L?format=jpg&name=large'}]",,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'IndiHome', 'id': 1075673058931806208, 'displayname': 'IndiHome', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/IndiHome'}]",,,,
5,snscrape.modules.twitter.Tweet,https://twitter.com/IndiHomeCare/status/1458221675942584324,2021-11-09 23:55:14+00:00,Siap Kak Rose Selamat menikmati layanan IndiHome dan menjalani aktivitas hari ini Semoga harinya menyenangkan Terima kasih Eshal,"@roserosaline68 Siap, Kak Rose. Selamat menikmati layanan IndiHome dan menjalani aktivitas hari ini. Semoga harinya menyenangkan. Terima kasih -Eshal",1458221675942584324,"{'_type': 'snscrape.modules.twitter.User', 'username': 'IndiHomeCare', 'id': 765035200896118789, 'displayname': 'IndiHomeCare', 'description': 'Official IndiHome Care Twitter Account ☎️ : 147 📧 : customercare@telkom.co.id', 'rawDescription': 'Official IndiHome Care Twitter Account ☎️ : 147 📧 : customercare@telkom.co.id', 'descriptionUrls': None, 'verified': True, 'created': '2016-08-15T03:59:40+00:00', 'followersCount': 81845, 'friendsCount': 5, 'statusesCount': 248120, 'favouritesCount': 627, 'listedCount': 18, 'mediaCount': 355, 'location': 'Indonesia', 'protected': False, 'linkUrl': 'http://indihome.co.id', 'linkTcourl': 'https://t.co/lKbSEbhZav', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1349175547440467971/9GSeMk4C_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/765035200896118789/1636201410', 'label': None, 'url': 'https://twitter.com/IndiHomeCare'}",0,0,0,0,1458003193078579205,in,"<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Socio Enterprise</a>",https://www.infomedia.co.id,Socio Enterprise,,,,,,1.4582193179468472e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'roserosaline68', 'id': 1454406202964660230, 'displayname': 'Roserosaline68', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/roserosaline68'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'roserosaline68', 'id': 1454406202964660230, 'displayname': 'Roserosaline68', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/roserosaline68'}]",,,,
6,snscrape.modules.twitter.Tweet,https://twitter.com/xyhuby_/status/1458221324036292609,2021-11-09 23:53:50+00:00,Dear bayar mahal kecepatannya wifinya yang tinggi tp tetep aja lemot wifinya,Dear @IndiHome bayar mahal kecepatannya wifinya yang tinggi tp tetep aja lemot wifinya :(,1458221324036292609,"{'_type': 'snscrape.modules.twitter.User', 'username': 'xyhuby_', 'id': 1413514738248470538, 'displayname': 'Tita Setiawati', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': '2021-07-09T15:06:00+00:00', 'followersCount': 0, 'friendsCount': 14, 'statusesCount': 3, 'favouritesCount': 3, 'listedCount': 0, 'mediaCount': 0, 'location': 'Beji, Indonesia', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1429142229189206021/-aem5xpJ_normal.jpg', 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/xyhuby_'}",0,0,0,0,1458221324036292609,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'IndiHome', 'id': 1075673058931806208, 'displayname': 'IndiHome', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/IndiHome'}]",,,,
7,snscrape.modules.twitter.Tweet,https://twitter.com/zyiwz/status/1458221010289786882,2021-11-09 23:52:35+00:00,Emang ni indihome semalem bikin kzl kzl kzl,@pitaaaya Emang ni indihome semalem bikin kzl kzl kzl,1458221010289786882,"{'_type': 'snscrape.modules.twitter.User', 'username': 'zyiwz', 'id': 1272914790990544896, 'displayname': 'zyiw ☻', 'description': ""99' MOSTLY TREASURE 🖤🔥"", 'rawDescription': ""99' MOSTLY TREASURE 🖤🔥"", 'descriptionUrls': None, 'verified': False, 'created': '2020-06-16T15:31:59+00:00', 'followersCount': 868, 'friendsCount': 864, 'statusesCount': 29416, 'favouritesCount': 7033, 'listedCount': 15, 'mediaCount': 1427, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1450766244844474368/eLkxrsZB_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1272914790990544896/1631900386', 'label': None, 'url': 'https://twitter.com/zyiwz'}",0,0,0,0,1458100149725630476,tl,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.458106913703428e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'pitaaaya', 'id': 3582450258, 'displayname': 'wonu🌒', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/pitaaaya'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'pitaaaya', 'id': 3582450258, 'displayname': 'wonu🌒', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/pitaaaya'}]",,,,
8,snscrape.modules.twitter.Tweet,https://twitter.com/IndiHomeCare/status/1458220749504745474,2021-11-09 23:51:33+00:00,Halo Kak Ariya Terima kasih atas apresiasinya ya Apabila ada pertanyaan lain seputar layanan IndiHome silakan hubungi kami kembali Stay safe Stay healthy dan bersama IndiHome PastiBeres Syifa,"@ariyamaxim Halo, Kak Ariya. Terima kasih atas apresiasinya ya. Apabila ada pertanyaan lain seputar layanan IndiHome, silakan hubungi kami kembali. Stay safe, Stay healthy dan bersama IndiHome #PastiBeres -Syifa",1458220749504745474,"{'_type': 'snscrape.modules.twitter.User', 'username': 'IndiHomeCare', 'id': 765035200896118789, 'displayname': 'IndiHomeCare', 'description': 'Official IndiHome Care Twitter Account ☎️ : 147 📧 : customercare@telkom.co.id', 'rawDescription': 'Official IndiHome Care Twitter Account ☎️ : 147 📧 : customercare@telkom.co.id', 'descriptionUrls': None, 'verified': True, 'created': '2016-08-15T03:59:40+00:00', 'followersCount': 81845, 'friendsCount': 5, 'statusesCount': 248120, 'favouritesCount': 627, 'listedCount': 18, 'mediaCount': 355, 'location': 'Indonesia', 'protected': False, 'linkUrl': 'http://indihome.co.id', 'linkTcourl': 'https://t.co/lKbSEbhZav', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1349175547440467971/9GSeMk4C_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/765035200896118789/1636201410', 'label': None, 'url': 'https://twitter.com/IndiHomeCare'}",0,0,0,0,1458218935573049345,in,"<a href=""https://www.infomedia.co.id"" rel=""nofollow"">Socio Enterprise</a>",https://www.infomedia.co.id,Socio Enterprise,,,,,,1.4582189355730493e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'ariyamaxim', 'id': 1454347761399173121, 'displayname': 'ariya', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/ariyamaxim'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'ariyamaxim', 'id': 1454347761399173121, 'displayname': 'ariya', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/ariyamaxim'}]",,,['PastiBeres'],
9,snscrape.modules.twitter.Tweet,https://twitter.com/Tubatulvrs/status/1458220442372636673,2021-11-09 23:50:20+00:00,Indihome astaga,@choiiyjn Indihome astaga 😭,1458220442372636673,"{'_type': 'snscrape.modules.twitter.User', 'username': 'Tubatulvrs', 'id': 1452321912080769033, 'displayname': 'N o r a', 'description': 'Loving #TXT so much ♡♡', 'rawDescription': 'Loving #TXT so much ♡♡', 'descriptionUrls': None, 'verified': False, 'created': '2021-10-24T17:11:58+00:00', 'followersCount': 244, 'friendsCount': 246, 'statusesCount': 1049, 'favouritesCount': 1507, 'listedCount': 0, 'mediaCount': 22, 'location': 'Tubatu heart', 'protected': False, 'linkUrl': 'https://secreto.site/id/23355933', 'linkTcourl': 'https://t.co/gU39kkuUFQ', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1452323416590139396/-28lfZwy_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1452321912080769033/1635095918', 'label': None, 'url': 'https://twitter.com/Tubatulvrs'}",1,0,0,0,1458219176766574595,et,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.4582201869520364e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'choiiyjn', 'id': 1300633122107654144, 'displayname': 'wulan ia', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/choiiyjn'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'choiiyjn', 'id': 1300633122107654144, 'displayname': 'wulan ia', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'label': None, 'url': 'https://twitter.com/choiiyjn'}]",,,,
